permit_type,permit_subtype,permit_street_address,permit_lot_size,contractor,contractor_address,submitted_date,issued_date,inspector
Building,New Construction,7944 Robertson Shores,0.71 acres,Quinn Inc,7398 Young Meadow Falls,1551657600,1552176000,Edward Woods
Maintenance,Mechanical,40437 Fields Knoll Suite 484,1.27 acres,Quinn Inc,7398 Young Meadow Falls,1551657600,1552435200,Edward Woods
Maintenance,Mechanical,70208 Mclean Isle,1.47 acres,Bray Ltd,6147 Amanda Center Pines,1551657600,1552435200,Brian Ochoa
Maintenance,Electrical,9880 Bean Rapid,1.44 acres,Roth-Garcia,5547 Schroeder Glens Courts,1551657600,1552435200,Lauren Ayala
Maintenance,Plumbing,3293 Harmon Camp,0.59 acres,Ford-Delacruz,9609 Santiago Bypass Crossroad,1551657600,1552089600,Edward Woods
Maintenance,Electrical,54951 Carter Courts,0.5 acres,Bray Ltd,6147 Amanda Center Pines,1551657600,1552262400,Edward Woods
Maintenance,Mechanical,1675 Katherine Pass Apt. 191,1.53 acres,Ford-Delacruz,9609 Santiago Bypass Crossroad,1551744000,1552694400,Lauren Ayala
Maintenance,Electrical,2315 Nguyen Extensions,1.28 acres,Roth-Garcia,5547 Schroeder Glens Courts,1551744000,1552348800,Lauren Ayala
Maintenance,Plumbing,96968 Williams Harbor,0.84 acres,Mercado and Sons,8410 Katie Heights Flats,1551830400,1552176000,Lauren Ayala
Maintenance,Mechanical,610 Frank Rest,0.67 acres,Quinn Inc,7398 Young Meadow Falls,1551830400,1552867200,Stephanie White
Building,New Construction,4111 Angelica Turnpike,0.68 acres,Mercado and Sons,8410 Katie Heights Flats,1551830400,1552348800,Lauren Ayala
Maintenance,Mechanical,259 Arthur Parkway,0.95 acres,Roth-Garcia,5547 Schroeder Glens Courts,1551916800,1552780800,Stephanie White
Maintenance,Plumbing,2506 Richard Springs Suite 510,0.78 acres,Reese Ltd,2506 Johnson Garden Run,1552003200,1552521600,Edward Woods
Building,New Construction,4785 Keller Overpass Suite 779,0.46 acres,Ford-Delacruz,9609 Santiago Bypass Crossroad,1552003200,1552521600,Lauren Ayala
Maintenance,Electrical,435 Kimberly Grove Suite 862,1.16 acres,Quinn Inc,7398 Young Meadow Falls,1552003200,1552694400,Brian Ochoa
Building,New Construction,1056 Destiny Glen Suite 970,1.01 acres,Quinn Inc,7398 Young Meadow Falls,1552089600,1552867200,Lauren Ayala
Building,Rennovation,77266 Scott Knoll Suite 356,0.89 acres,Roth-Garcia,5547 Schroeder Glens Courts,1552089600,1553904000,Brian Ochoa
Building,Rennovation,243 Kyle Street,3.02 acres,Quinn Inc,7398 Young Meadow Falls,1552089600,1554508800,Edward Woods
Maintenance,Mechanical,9380 Christine Cove,0.84 acres,Quinn Inc,7398 Young Meadow Falls,1552089600,1552694400,Lauren Ayala
Building,Rennovation,50247 Michael Burgs Apt. 858,1.06 acres,Blair-Williams,2618 Marshall Summit Passage,1552089600,1554163200,Edward Woods
Maintenance,Mechanical,989 Denise Creek,1.11 acres,Lawson Group,5562 Deleon Isle Expressway,1552176000,1553040000,Edward Woods
Building,Rennovation,4298 Douglas Passage Apt. 826,1.1 acres,Ford-Delacruz,9609 Santiago Bypass Crossroad,1552176000,1554163200,Lauren Ayala
Building,New Construction,730 Scott Haven,1.03 acres,Mercado and Sons,8410 Katie Heights Flats,1552262400,1552867200,Brian Ochoa
Maintenance,Plumbing,5349 Morales Island,1.18 acres,Quinn Inc,7398 Young Meadow Falls,1552262400,1553040000,Lauren Ayala
Maintenance,Mechanical,3204 Smith Groves Suite 578,0.94 acres,Lucero-Rich,6977 Ward Glens Dale,1552262400,1553126400,Stephanie White
Building,New Construction,253 Willie Meadow,0.47 acres,Lucero-Rich,6977 Ward Glens Dale,1552262400,1552694400,Brian Ochoa
Building,Rennovation,715 Brown Orchard Suite 617,1.32 acres,Blair-Williams,2618 Marshall Summit Passage,1552262400,1554163200,Brian Ochoa
Maintenance,Mechanical,89670 Rebecca Ports,0.98 acres,Bray Ltd,6147 Amanda Center Pines,1552262400,1552867200,Edward Woods
Building,Rennovation,716 Watson Common Suite 615,1.11 acres,Reese Ltd,2506 Johnson Garden Run,1552262400,1554508800,Edward Woods
Building,New Construction,04339 Miller Park Apt. 294,0.76 acres,Mercado and Sons,8410 Katie Heights Flats,1552348800,1552867200,Edward Woods
Maintenance,Electrical,069 Michael Junction,0.46 acres,Bray Ltd,6147 Amanda Center Pines,1552348800,1552953600,Edward Woods
Maintenance,Electrical,43287 Martinez Forge Suite 461,1.96 acres,Roth-Garcia,5547 Schroeder Glens Courts,1552348800,1552867200,Brian Ochoa
Maintenance,Plumbing,9273 Taylor Center,1.19 acres,Bray Ltd,6147 Amanda Center Pines,1552435200,1553126400,Lauren Ayala
Maintenance,Electrical,75374 Smith Rest,1.65 acres,Blair-Williams,2618 Marshall Summit Passage,1552435200,1553212800,Lauren Ayala
Maintenance,Mechanical,1271 Jared Loop,1.11 acres,Ford-Delacruz,9609 Santiago Bypass Crossroad,1552521600,1553472000,Lauren Ayala
Building,Rennovation,8899 Ryan Parkways,1.14 acres,Roth-Garcia,5547 Schroeder Glens Courts,1552521600,1554163200,Brian Ochoa
Building,Rennovation,5671 Carla Court,0.67 acres,Ford-Delacruz,9609 Santiago Bypass Crossroad,1552521600,1554422400,Lauren Ayala
Maintenance,Electrical,3485 Brandt Shore,0.81 acres,Lucero-Rich,6977 Ward Glens Dale,1552608000,1553126400,Edward Woods
Maintenance,Electrical,151 Matthew Summit Suite 640,1.6 acres,Bray Ltd,6147 Amanda Center Pines,1552608000,1553385600,Edward Woods
Maintenance,Electrical,0049 Robert Circles,0.67 acres,Reese Ltd,2506 Johnson Garden Run,1552694400,1553212800,Brian Ochoa
Building,New Construction,141 Dakota Throughway,1.73 acres,Mercado and Sons,8410 Katie Heights Flats,1552694400,1553644800,Stephanie White
Maintenance,Plumbing,071 Andrew Trail,0.66 acres,Lawson Group,5562 Deleon Isle Expressway,1552694400,1553385600,Stephanie White
Maintenance,Electrical,093 Aguilar Dale Suite 086,1.25 acres,Reese Ltd,2506 Johnson Garden Run,1552694400,1553385600,Brian Ochoa
Maintenance,Electrical,628 Cook Loaf Suite 381,0.71 acres,Lucero-Rich,6977 Ward Glens Dale,1552780800,1553385600,Lauren Ayala
Maintenance,Mechanical,00239 Steven Cove Apt. 915,0.58 acres,Blair-Williams,2618 Marshall Summit Passage,1552780800,1553472000,Lauren Ayala
Maintenance,Electrical,5194 Dawson Vista,1.23 acres,Roth-Garcia,5547 Schroeder Glens Courts,1552780800,1553558400,Lauren Ayala
Building,New Construction,46180 Valerie Gardens Suite 974,1.28 acres,Roth-Garcia,5547 Schroeder Glens Courts,1552867200,1553558400,Edward Woods
Building,New Construction,9179 Lee Shoal Suite 748,0.69 acres,Mercado and Sons,8410 Katie Heights Flats,1552867200,1553299200,Brian Ochoa
Maintenance,Electrical,13639 Christensen Mountains,1.3 acres,Mercado and Sons,8410 Katie Heights Flats,1552867200,1553990400,Stephanie White
Building,New Construction,8219 Hansen Drive Apt. 231,1.37 acres,Lawson Group,5562 Deleon Isle Expressway,1552953600,1553644800,Brian Ochoa
Maintenance,Electrical,4365 Deborah Point Suite 016,1.42 acres,Roth-Garcia,5547 Schroeder Glens Courts,1552953600,1553644800,Lauren Ayala
Maintenance,Plumbing,590 Wilson Viaduct,0.77 acres,Lucero-Rich,6977 Ward Glens Dale,1552953600,1553385600,Brian Ochoa
Maintenance,Mechanical,300 Ellis Corners Suite 665,1.11 acres,Bray Ltd,6147 Amanda Center Pines,1553040000,1553731200,Lauren Ayala
Maintenance,Electrical,4083 Anthony Groves Apt. 915,1.46 acres,Mercado and Sons,8410 Katie Heights Flats,1553040000,1553817600,Edward Woods
Maintenance,Electrical,37173 Jerry Burg,0.49 acres,Bray Ltd,6147 Amanda Center Pines,1553040000,1553817600,Stephanie White
Building,Rennovation,6558 Deborah Plains Suite 873,1.58 acres,Roth-Garcia,5547 Schroeder Glens Courts,1553126400,1555200000,Lauren Ayala
Maintenance,Electrical,9975 Amy Walk Suite 487,1.38 acres,Roth-Garcia,5547 Schroeder Glens Courts,1553126400,1553904000,Lauren Ayala
Maintenance,Electrical,514 Chase Plain Apt. 607,0.95 acres,Bray Ltd,6147 Amanda Center Pines,1553126400,1553731200,Edward Woods
Maintenance,Mechanical,680 Deborah Station,1.74 acres,Roth-Garcia,5547 Schroeder Glens Courts,1553212800,1554249600,Stephanie White
Building,New Construction,78964 Karen Flat,0.97 acres,Lawson Group,5562 Deleon Isle Expressway,1553212800,1553558400,Brian Ochoa
Building,New Construction,056 Smith Loop,1.9 acres,Blair-Williams,2618 Marshall Summit Passage,1553299200,1553990400,Brian Ochoa
Building,New Construction,64903 Camacho Mills Apt. 384,0.98 acres,Bray Ltd,6147 Amanda Center Pines,1553299200,1553731200,Brian Ochoa
Building,New Construction,5447 Diana Centers Apt. 866,1.18 acres,Reese Ltd,2506 Johnson Garden Run,1553299200,1554076800,Edward Woods
Maintenance,Mechanical,03107 Dylan Way,1.96 acres,Quinn Inc,7398 Young Meadow Falls,1553472000,1554422400,Lauren Ayala
Maintenance,Plumbing,05811 Moore Drive,1.96 acres,Bray Ltd,6147 Amanda Center Pines,1553472000,1554422400,Stephanie White
Building,Rennovation,26127 Marshall Drives,0.75 acres,Lucero-Rich,6977 Ward Glens Dale,1553472000,1555286400,Brian Ochoa
Maintenance,Mechanical,29636 Cherry Mountain,0.59 acres,Mercado and Sons,8410 Katie Heights Flats,1553472000,1554163200,Brian Ochoa
Maintenance,Mechanical,66033 Jody Light Apt. 086,1.18 acres,Blair-Williams,2618 Marshall Summit Passage,1553644800,1554768000,Stephanie White
Building,Rennovation,13139 Amanda Curve Apt. 949,1.71 acres,Lucero-Rich,6977 Ward Glens Dale,1553644800,1555632000,Stephanie White
Maintenance,Mechanical,90206 Ruben Spurs,0.93 acres,Blair-Williams,2618 Marshall Summit Passage,1553644800,1554163200,Brian Ochoa
Maintenance,Plumbing,059 Hoffman Road Suite 998,1.38 acres,Reese Ltd,2506 Johnson Garden Run,1553644800,1554681600,Stephanie White
Building,Rennovation,0542 Sean Expressway Suite 040,1.16 acres,Quinn Inc,7398 Young Meadow Falls,1553731200,1555718400,Lauren Ayala
Building,New Construction,558 Elizabeth Loop Apt. 612,1.14 acres,Lawson Group,5562 Deleon Isle Expressway,1553731200,1554422400,Brian Ochoa
Maintenance,Electrical,950 Hudson Manor Apt. 318,0.96 acres,Blair-Williams,2618 Marshall Summit Passage,1553817600,1554595200,Stephanie White
Maintenance,Mechanical,657 Shirley Via Apt. 056,1.27 acres,Mercado and Sons,8410 Katie Heights Flats,1553817600,1554508800,Brian Ochoa
Building,New Construction,87584 Paul River Suite 371,1.39 acres,Reese Ltd,2506 Johnson Garden Run,1553817600,1554508800,Lauren Ayala
Maintenance,Mechanical,259 Chapman Lodge,1.17 acres,Bray Ltd,6147 Amanda Center Pines,1553817600,1554595200,Edward Woods
Maintenance,Plumbing,66563 Hernandez Mission,1.22 acres,Blair-Williams,2618 Marshall Summit Passage,1553817600,1554422400,Brian Ochoa
Maintenance,Plumbing,587 Chelsea Brooks,0.86 acres,Bray Ltd,6147 Amanda Center Pines,1553904000,1554508800,Brian Ochoa
Maintenance,Electrical,78317 Kayla Viaduct Apt. 047,0.93 acres,Reese Ltd,2506 Johnson Garden Run,1553990400,1554595200,Edward Woods
Building,Rennovation,1314 Valencia Parks,1.45 acres,Roth-Garcia,5547 Schroeder Glens Courts,1554076800,1556150400,Lauren Ayala
Maintenance,Mechanical,9547 Jackson Circles Suite 801,1.38 acres,Lawson Group,5562 Deleon Isle Expressway,1554076800,1555113600,Stephanie White
Maintenance,Electrical,31382 Carl Roads Apt. 294,2.04 acres,Roth-Garcia,5547 Schroeder Glens Courts,1554163200,1555113600,Lauren Ayala
Maintenance,Mechanical,91899 Joseph Parkway Apt. 613,0.79 acres,Lawson Group,5562 Deleon Isle Expressway,1554163200,1554681600,Lauren Ayala
Maintenance,Mechanical,25104 Schultz Canyon Suite 616,0.9 acres,Roth-Garcia,5547 Schroeder Glens Courts,1554163200,1555027200,Stephanie White
Maintenance,Plumbing,05729 Hernandez Islands,1.54 acres,Lucero-Rich,6977 Ward Glens Dale,1554163200,1555113600,Stephanie White
Building,New Construction,0242 Derrick Glen,1.08 acres,Quinn Inc,7398 Young Meadow Falls,1554163200,1554854400,Lauren Ayala
Maintenance,Electrical,485 Wise Neck Apt. 867,1.65 acres,Reese Ltd,2506 Johnson Garden Run,1554249600,1555286400,Stephanie White
Maintenance,Electrical,486 Brown Squares Apt. 347,0.98 acres,Bray Ltd,6147 Amanda Center Pines,1554249600,1554854400,Lauren Ayala
Building,New Construction,500 Bailey Prairie Apt. 683,2.25 acres,Lucero-Rich,6977 Ward Glens Dale,1554249600,1555200000,Lauren Ayala
Maintenance,Electrical,473 Anthony Tunnel,0.84 acres,Lawson Group,5562 Deleon Isle Expressway,1554249600,1555113600,Stephanie White
Building,Rennovation,984 Diane Prairie Apt. 199,0.58 acres,Bray Ltd,6147 Amanda Center Pines,1554249600,1556409600,Stephanie White
Building,Rennovation,9941 Briggs Square Apt. 215,1.22 acres,Roth-Garcia,5547 Schroeder Glens Courts,1554336000,1556409600,Edward Woods
Building,Rennovation,74629 James Road,1.0 acres,Ford-Delacruz,9609 Santiago Bypass Crossroad,1554422400,1556236800,Brian Ochoa
Maintenance,Plumbing,54885 Joshua Union Suite 828,0.57 acres,Ford-Delacruz,9609 Santiago Bypass Crossroad,1554422400,1554854400,Brian Ochoa
Building,New Construction,161 Williams Center Suite 750,1.39 acres,Lawson Group,5562 Deleon Isle Expressway,1554422400,1555113600,Lauren Ayala
Building,New Construction,59755 Riley Cliff,0.8 acres,Bray Ltd,6147 Amanda Center Pines,1554508800,1555372800,Stephanie White
Maintenance,Plumbing,4845 Tate Brooks,0.63 acres,Roth-Garcia,5547 Schroeder Glens Courts,1554508800,1555027200,Edward Woods
Maintenance,Mechanical,1119 Hannah Lodge Suite 562,1.35 acres,Mercado and Sons,8410 Katie Heights Flats,1554508800,1555372800,Lauren Ayala
Building,Rennovation,9898 Brandt Motorway Apt. 323,0.7 acres,Blair-Williams,2618 Marshall Summit Passage,1554595200,1556496000,Brian Ochoa
Building,Rennovation,683 Bridges Curve,0.93 acres,Ford-Delacruz,9609 Santiago Bypass Crossroad,1554595200,1556841600,Stephanie White
Building,Rennovation,7666 Clark Via,0.87 acres,Lawson Group,5562 Deleon Isle Expressway,1554595200,1556668800,Stephanie White
Maintenance,Plumbing,532 Johnson Key Apt. 210,1.6 acres,Ford-Delacruz,9609 Santiago Bypass Crossroad,1554854400,1555718400,Lauren Ayala
Maintenance,Plumbing,1670 Greene Locks,0.97 acres,Roth-Garcia,5547 Schroeder Glens Courts,1554854400,1555545600,Stephanie White
Building,Rennovation,95569 Mary Parkway Apt. 107,0.75 acres,Lucero-Rich,6977 Ward Glens Dale,1554940800,1556668800,Edward Woods
Building,New Construction,53500 Jackson Center Suite 746,1.0 acres,Reese Ltd,2506 Johnson Garden Run,1554940800,1555459200,Brian Ochoa
Maintenance,Mechanical,144 David Roads Suite 282,0.79 acres,Blair-Williams,2618 Marshall Summit Passage,1555027200,1555891200,Stephanie White
Building,New Construction,4445 Donovan Club,0.78 acres,Mercado and Sons,8410 Katie Heights Flats,1555027200,1555632000,Edward Woods
Maintenance,Plumbing,78927 Atkinson Court Suite 378,0.65 acres,Mercado and Sons,8410 Katie Heights Flats,1555027200,1555804800,Stephanie White
Building,New Construction,48797 Townsend Ramp Apt. 133,0.77 acres,Blair-Williams,2618 Marshall Summit Passage,1555027200,1555632000,Edward Woods
Maintenance,Plumbing,69816 Alejandro Valleys,0.61 acres,Blair-Williams,2618 Marshall Summit Passage,1555027200,1555372800,Brian Ochoa
Maintenance,Electrical,4297 Wilson Lodge Suite 818,1.13 acres,Bray Ltd,6147 Amanda Center Pines,1555027200,1555804800,Edward Woods
Building,New Construction,85137 Jackson Inlet Apt. 762,0.8 acres,Reese Ltd,2506 Johnson Garden Run,1555113600,1555891200,Stephanie White
Maintenance,Mechanical,7252 Robinson Path Apt. 790,1.1 acres,Reese Ltd,2506 Johnson Garden Run,1555113600,1555718400,Brian Ochoa
Maintenance,Electrical,7192 Williams Throughway Apt. 540,1.38 acres,Reese Ltd,2506 Johnson Garden Run,1555113600,1555804800,Lauren Ayala
Maintenance,Plumbing,3534 Kristin Walk Apt. 201,1.5 acres,Ford-Delacruz,9609 Santiago Bypass Crossroad,1555113600,1555804800,Brian Ochoa
Building,Rennovation,804 Spencer Prairie Apt. 663,1.29 acres,Reese Ltd,2506 Johnson Garden Run,1555113600,1557187200,Edward Woods
Building,New Construction,691 Eric Gateway,1.05 acres,Roth-Garcia,5547 Schroeder Glens Courts,1555200000,1555977600,Lauren Ayala
Building,New Construction,308 Martinez Inlet,1.0 acres,Reese Ltd,2506 Johnson Garden Run,1555200000,1555804800,Brian Ochoa
Building,New Construction,093 Kimberly Ways,1.34 acres,Reese Ltd,2506 Johnson Garden Run,1555286400,1556064000,Edward Woods
Maintenance,Mechanical,675 Booker Isle Apt. 136,0.7 acres,Bray Ltd,6147 Amanda Center Pines,1555286400,1556236800,Stephanie White
Maintenance,Plumbing,699 Matthew Ramp Apt. 210,0.46 acres,Bray Ltd,6147 Amanda Center Pines,1555286400,1555632000,Edward Woods
Building,New Construction,4733 Paul Lodge,1.43 acres,Lawson Group,5562 Deleon Isle Expressway,1555372800,1556150400,Edward Woods
Building,New Construction,4940 Christopher Port,1.45 acres,Reese Ltd,2506 Johnson Garden Run,1555372800,1556409600,Stephanie White
Building,Rennovation,90952 Mary Union,1.74 acres,Reese Ltd,2506 Johnson Garden Run,1555372800,1556928000,Brian Ochoa
Maintenance,Electrical,114 Kirk Drives,0.82 acres,Lucero-Rich,6977 Ward Glens Dale,1555372800,1556236800,Stephanie White
Maintenance,Plumbing,28521 Scott Glen,1.72 acres,Lawson Group,5562 Deleon Isle Expressway,1555372800,1555891200,Brian Ochoa
Building,New Construction,396 Matthew Isle,0.86 acres,Lucero-Rich,6977 Ward Glens Dale,1555459200,1556409600,Stephanie White
Maintenance,Electrical,09457 Watson Court,1.53 acres,Reese Ltd,2506 Johnson Garden Run,1555459200,1556409600,Stephanie White
Maintenance,Plumbing,69652 Wu Key,1.12 acres,Bray Ltd,6147 Amanda Center Pines,1555459200,1556150400,Edward Woods
Building,New Construction,340 Peggy Manors Suite 540,0.53 acres,Quinn Inc,7398 Young Meadow Falls,1555545600,1555977600,Brian Ochoa
Maintenance,Plumbing,9448 Morris Rue Suite 239,1.73 acres,Ford-Delacruz,9609 Santiago Bypass Crossroad,1555545600,1556236800,Edward Woods
Maintenance,Plumbing,37390 Jensen Street,1.4 acres,Reese Ltd,2506 Johnson Garden Run,1555545600,1556496000,Stephanie White
Building,Rennovation,4029 Ramirez Street,0.28 acres,Quinn Inc,7398 Young Meadow Falls,1555545600,1557273600,Edward Woods
Maintenance,Mechanical,7843 Aaron Courts,0.61 acres,Lawson Group,5562 Deleon Isle Expressway,1555545600,1556150400,Brian Ochoa
Maintenance,Mechanical,892 Davis Extension Apt. 374,1.06 acres,Blair-Williams,2618 Marshall Summit Passage,1555545600,1556496000,Edward Woods
Maintenance,Mechanical,16766 Darren Springs,0.45 acres,Bray Ltd,6147 Amanda Center Pines,1555632000,1556582400,Stephanie White
Maintenance,Plumbing,58705 Timothy Lake Suite 469,0.6 acres,Quinn Inc,7398 Young Meadow Falls,1555632000,1556323200,Stephanie White
Building,New Construction,048 Carrie Pine,0.75 acres,Ford-Delacruz,9609 Santiago Bypass Crossroad,1555632000,1556150400,Brian Ochoa
Building,New Construction,940 David Ville Suite 573,0.89 acres,Lucero-Rich,6977 Ward Glens Dale,1555632000,1556064000,Edward Woods
Building,Rennovation,63205 Rachel Brooks,0.99 acres,Lucero-Rich,6977 Ward Glens Dale,1555718400,1557532800,Brian Ochoa
Maintenance,Mechanical,446 Nicole Radial,0.61 acres,Bray Ltd,6147 Amanda Center Pines,1555718400,1556409600,Brian Ochoa
Maintenance,Plumbing,0536 Rivera Cliff Suite 448,1.74 acres,Reese Ltd,2506 Johnson Garden Run,1555718400,1556582400,Stephanie White
Maintenance,Plumbing,87184 Sara Throughway,0.77 acres,Blair-Williams,2618 Marshall Summit Passage,1555718400,1556150400,Brian Ochoa
Building,New Construction,1909 Diane Throughway Suite 070,0.81 acres,Quinn Inc,7398 Young Meadow Falls,1555718400,1556496000,Stephanie White
Building,Rennovation,616 Donna Loaf,2.08 acres,Roth-Garcia,5547 Schroeder Glens Courts,1555718400,1557878400,Edward Woods
Building,Rennovation,697 Thomas Club Apt. 839,0.5 acres,Blair-Williams,2618 Marshall Summit Passage,1555718400,1557705600,Stephanie White
Maintenance,Electrical,72089 Sanders Trace Suite 617,1.14 acres,Mercado and Sons,8410 Katie Heights Flats,1555718400,1556409600,Lauren Ayala
Maintenance,Plumbing,146 Jennifer Tunnel Suite 578,1.07 acres,Lawson Group,5562 Deleon Isle Expressway,1555804800,1556496000,Edward Woods
Maintenance,Electrical,63409 Rowe Avenue Suite 777,0.8 acres,Blair-Williams,2618 Marshall Summit Passage,1555804800,1556409600,Lauren Ayala
Building,Rennovation,62701 Foster Fields,0.62 acres,Mercado and Sons,8410 Katie Heights Flats,1555804800,1557446400,Brian Ochoa
Maintenance,Electrical,02128 Chad Mountain Apt. 389,1.08 acres,Lawson Group,5562 Deleon Isle Expressway,1555804800,1556496000,Lauren Ayala
Maintenance,Mechanical,4031 Rojas Tunnel Suite 017,2.06 acres,Quinn Inc,7398 Young Meadow Falls,1555804800,1556841600,Lauren Ayala
Maintenance,Electrical,6136 Bruce Avenue,0.87 acres,Lawson Group,5562 Deleon Isle Expressway,1555891200,1556755200,Stephanie White
Maintenance,Mechanical,8896 Kristi Ford Apt. 058,1.43 acres,Quinn Inc,7398 Young Meadow Falls,1555977600,1557014400,Stephanie White
Maintenance,Electrical,9292 Watson Meadow,1.37 acres,Lucero-Rich,6977 Ward Glens Dale,1555977600,1556755200,Lauren Ayala
Maintenance,Mechanical,1752 Judy Crossing,1.08 acres,Lucero-Rich,6977 Ward Glens Dale,1555977600,1556928000,Stephanie White
Maintenance,Electrical,7712 Watkins Walks Suite 448,1.39 acres,Mercado and Sons,8410 Katie Heights Flats,1556150400,1556928000,Lauren Ayala
Building,New Construction,72442 Thomas Ports,0.99 acres,Lawson Group,5562 Deleon Isle Expressway,1556150400,1556668800,Brian Ochoa
Maintenance,Electrical,2063 Bowman Glen,0.58 acres,Blair-Williams,2618 Marshall Summit Passage,1556150400,1557014400,Stephanie White
Maintenance,Mechanical,8746 Chen Ferry,1.05 acres,Blair-Williams,2618 Marshall Summit Passage,1556236800,1557273600,Stephanie White
Maintenance,Mechanical,929 Kathy Bridge,1.37 acres,Mercado and Sons,8410 Katie Heights Flats,1556236800,1557273600,Stephanie White
Building,Rennovation,0390 Jonathan Club Suite 571,1.18 acres,Blair-Williams,2618 Marshall Summit Passage,1556236800,1557964800,Brian Ochoa
Maintenance,Plumbing,4694 Cooper Brooks,1.21 acres,Blair-Williams,2618 Marshall Summit Passage,1556323200,1557273600,Stephanie White
Maintenance,Mechanical,616 Drake Creek,0.45 acres,Lawson Group,5562 Deleon Isle Expressway,1556323200,1556928000,Lauren Ayala
Maintenance,Electrical,6884 Michael Landing Apt. 512,1.45 acres,Lawson Group,5562 Deleon Isle Expressway,1556409600,1557187200,Edward Woods
Building,New Construction,7816 Michael Forges Apt. 235,0.98 acres,Lucero-Rich,6977 Ward Glens Dale,1556496000,1557360000,Stephanie White
Maintenance,Mechanical,2922 Amy Crossroad Suite 603,1.25 acres,Ford-Delacruz,9609 Santiago Bypass Crossroad,1556496000,1557187200,Brian Ochoa
Maintenance,Mechanical,6948 Salas Row,1.52 acres,Roth-Garcia,5547 Schroeder Glens Courts,1556496000,1557446400,Stephanie White
Building,Rennovation,6176 Brown Valleys,1.03 acres,Roth-Garcia,5547 Schroeder Glens Courts,1556582400,1559088000,Stephanie White
Maintenance,Electrical,7514 Tasha Row,1.53 acres,Quinn Inc,7398 Young Meadow Falls,1556582400,1557446400,Stephanie White
Maintenance,Plumbing,5691 Carlson Ranch Apt. 746,0.82 acres,Roth-Garcia,5547 Schroeder Glens Courts,1556668800,1557100800,Brian Ochoa
Maintenance,Electrical,064 Taylor Gardens,1.29 acres,Reese Ltd,2506 Johnson Garden Run,1556668800,1557360000,Brian Ochoa
Building,New Construction,1564 Lang Manors Suite 670,0.7 acres,Reese Ltd,2506 Johnson Garden Run,1556668800,1557360000,Lauren Ayala
Building,Rennovation,443 Annette Turnpike,1.05 acres,Mercado and Sons,8410 Katie Heights Flats,1556668800,1558656000,Edward Woods
Building,New Construction,06499 George Causeway Suite 777,0.65 acres,Reese Ltd,2506 Johnson Garden Run,1556668800,1557360000,Edward Woods
Maintenance,Plumbing,7914 Christopher Isle,1.53 acres,Bray Ltd,6147 Amanda Center Pines,1556841600,1557619200,Brian Ochoa
Building,Rennovation,74976 Amanda Parks,0.88 acres,Mercado and Sons,8410 Katie Heights Flats,1556841600,1558828800,Lauren Ayala
Maintenance,Mechanical,27589 Wilson Skyway Apt. 233,1.24 acres,Mercado and Sons,8410 Katie Heights Flats,1556928000,1557705600,Edward Woods
Building,New Construction,38475 Morris Crossroad,0.58 acres,Mercado and Sons,8410 Katie Heights Flats,1556928000,1557619200,Edward Woods
Maintenance,Mechanical,3550 Timothy Forks Suite 149,1.42 acres,Blair-Williams,2618 Marshall Summit Passage,1556928000,1557878400,Edward Woods
Maintenance,Plumbing,164 Susan Squares Suite 801,1.25 acres,Roth-Garcia,5547 Schroeder Glens Courts,1557014400,1557705600,Edward Woods
Maintenance,Plumbing,6993 Janet Turnpike Suite 161,0.53 acres,Bray Ltd,6147 Amanda Center Pines,1557014400,1557964800,Stephanie White
Maintenance,Mechanical,72016 David Trail Suite 284,1.07 acres,Reese Ltd,2506 Johnson Garden Run,1557014400,1557705600,Edward Woods
Maintenance,Electrical,324 Mccoy Club Suite 903,0.58 acres,Quinn Inc,7398 Young Meadow Falls,1557100800,1557619200,Brian Ochoa
Maintenance,Electrical,187 Macias Square Apt. 034,1.6 acres,Mercado and Sons,8410 Katie Heights Flats,1557100800,1557878400,Edward Woods
Maintenance,Electrical,108 Donna Heights Apt. 914,1.57 acres,Roth-Garcia,5547 Schroeder Glens Courts,1557187200,1557964800,Lauren Ayala
Building,New Construction,93799 Amy Gardens Suite 323,1.45 acres,Reese Ltd,2506 Johnson Garden Run,1557187200,1557792000,Edward Woods
Maintenance,Mechanical,0291 Marshall Run,2.11 acres,Mercado and Sons,8410 Katie Heights Flats,1557187200,1558224000,Edward Woods
Building,New Construction,32312 Lawson Isle Apt. 976,0.9 acres,Lucero-Rich,6977 Ward Glens Dale,1557187200,1557964800,Stephanie White
Maintenance,Plumbing,0681 Mario Mills,0.96 acres,Blair-Williams,2618 Marshall Summit Passage,1557187200,1557964800,Stephanie White
Maintenance,Mechanical,09158 Dillon Ports Suite 383,0.81 acres,Reese Ltd,2506 Johnson Garden Run,1557187200,1558051200,Stephanie White
Maintenance,Plumbing,38466 Myers Road,0.68 acres,Quinn Inc,7398 Young Meadow Falls,1557187200,1557705600,Lauren Ayala
Maintenance,Electrical,925 Michael Hollow Suite 576,1.56 acres,Quinn Inc,7398 Young Meadow Falls,1557273600,1557964800,Lauren Ayala
Building,New Construction,596 Garcia Stravenue Apt. 052,0.97 acres,Ford-Delacruz,9609 Santiago Bypass Crossroad,1557273600,1557792000,Lauren Ayala
Building,Rennovation,370 Wallace Field Apt. 784,0.75 acres,Lawson Group,5562 Deleon Isle Expressway,1557360000,1559001600,Brian Ochoa
